City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,loandjili,-4.7561,11.8578,27.63,82,100,3.81,CG,1681059802
182,tecoanapa,16.5167,-98.75,29.86,53,3,4.29,MX,1681059802
183,kruisfontein,-34.0033,24.7314,14.94,88,90,5.36,ZA,1681059660
184,la union,-5.4,-80.75,31.19,52,47,3.02,PE,1681059802
185,tsurib,42.2368,46.8307,2.12,82,88,2.9,RU,1681059802
186,poya,-21.35,165.15,22.94,82,0,1.25,NC,1681059802
187,puerto escondido,15.85,-97.0667,30.88,52,2,3.56,MX,1681059343
188,esna,25.2934,32.554,34.01,10,9,4.21,EG,1681059803
189,husavik,66.0449,-17.3389,6.39,79,99,10.51,IS,1681059433
190,dryden,49.7833,-92.7503,9.16,49,0,8.23,CA,1681059635
191,chernyshevskiy,63.0128,112.4714,-29.9,100,55,0.87,RU,1681059803
192,ancud,-41.8697,-73.8203,10.59,92,100,3.87,CL,1681059583
193,sile,41.1754,29.6133,11.43,70,75,1.34,TR,1681059803
194,mogadishu,2.0371,45.3438,28.49,76,15,7.63,SO,1681059477
195,carutapera,-1.195,-46.02,26.23,87,100,0.91,BR,1681059803
196,balikpapan,-1.2675,116.8289,25.55,94,20,0.0,ID,1681059629
197,vardo,70.3705,31.1107,1.99,80,75,6.17,NO,1681059575
198,poum,-20.2333,164.0167,26.11,70,29,1.06,NC,1681059637
199,bartica,6.4,-58.6167,33.18,32,48,1.31,GY,1681059804
200,centralia,46.7162,-122.9543,11.3,87,100,4.12,US,1681059801
201,kushmurun,52.4503,64.6311,3.96,45,7,2.59,KZ,1681059804
202,gazanjyk,39.2446,55.5154,15.61,53,17,7.32,TM,1681059804
203,nara,34.6851,135.8049,9.16,45,0,1.32,JP,1681059634
204,kieta,-6.2167,155.6333,26.44,79,100,1.83,PG,1681059653
205,sorland,67.667,12.6934,4.92,82,49,3.8,NO,1681059804
206,griffith,41.5284,-87.4237,18.5,29,0,4.63,US,1681059805
207,avera,33.194,-82.5271,15.51,58,92,7.19,US,1681059583
208,akyab,20.15,92.9,27.22,74,0,4.33,MM,1681059598
209,voyinka,45.8699,33.9914,9.09,79,66,1.73,UA,1681059805
210,parnera,20.55,72.95,28.0,58,89,2.91,IN,1681059805
211,marzuq,14.4,46.4667,26.33,44,96,2.47,YE,1681059656
212,airai,-8.9266,125.4092,14.59,98,100,1.1,TL,1681059640
213,pangnirtung,66.1451,-65.7125,-22.0,71,0,3.6,CA,1681059587
214,saint leonard,47.173,-67.9247,5.1,78,62,4.04,CA,1681059805
215,riyadh,24.6877,46.7219,28.08,11,9,3.43,SA,1681059621
216,vrutky,49.1133,18.9171,9.32,63,91,0.5,SK,1681059806
217,fortuna,40.5982,-124.1573,16.63,60,45,3.13,US,1681059659
218,bambous virieux,-20.3428,57.7575,26.14,83,75,0.0,MU,1681059311
219,dolores,-36.3132,-57.6792,28.4,26,4,5.56,AR,1681059806
220,thompson,55.7435,-97.8558,4.09,65,20,3.09,CA,1681059578
221,ewa beach,21.3156,-158.0072,21.91,91,100,3.09,US,1681059806
222,buala,-8.145,159.5921,26.95,80,91,2.31,SB,1681059656
223,menongue,-14.6585,17.691,21.12,56,72,2.42,AO,1681059807
224,bandiagara,14.3501,-3.6104,35.61,16,99,5.4,ML,1681059807
